serie,step 1 view count
Total,80667
1,39021
2,13480
3,6411
4,4363
5,3395
6,2625
7,2036
8,1547
9,1253
10,1044
11,827
12,649
13,543
14,490
15,396
16,339
17,299
18,235
19,226
20,195
21,160
22,114
25,107
23,106
24,91
26,75
28,70
27,69
29,48
30,42
32,41
34,34
31,33
33,28
35,24
36,21
39,19
37,15
38,15
46,14
42,12
40,11
48,11
43,10
41,9
45,9
49,9
50,8
53,6
47,5
