serie,step 1 view count
Total,80701
0,80545
3,13
2,13
5,10
7,9
4,8
1,8
9,7
6,6
11,6
8,5
12,5
17,5
15,4
10,3
19,3
34,3
13,3
18,2
26,2
62,2
21,2
44,2
36,2
16,2
25,2
14,2
33,2
29,2
20,1
32,1
24,1
35,1
23,1
38,1
39,1
40,1
22,1
53,1
55,1
28,1
63,1
65,1
70,1
78,1
95,1
129,1
130,1
173,1
194,1
236,1
261,1
